account,opportunity_id,sales_agent,deal_stage,product,close_date,close_value,created_on
Sunnamplex,67HY0MW7,Donn Cantrell,Won,GTXBasic,2017-05-06,500.0,2017-04-24
,MA82HVCI,James Ascencio,In_Progress,GTXPro,,,2017-06-15
,BRL1KVVH,Vicki Laflamme,Lost,GTXBasic,2017-08-03,0.0,2017-05-19
Silis,R22O68FF,Niesha Huffines,Won,GTXBasic,2017-06-27,524.0,2017-03-21
Silis,J78AK31N,Kami Bicknell,Won,MGRPFU,2017-08-04,4794.0,2017-05-15
Groovestreet,8I9PRPGN,Versie Hillebrand,Won,MGRPFS,2017-05-27,67.0,2017-04-16
Donware,4VHUTHOJ,Kami Bicknell,Won,GTXPlusBasic,2017-11-12,1480.0,2017-11-11
Wonka Industries,TMJ0OJ0B,Kary Hendrixson,Won,GTXBasic,2017-07-10,635.0,2017-06-30
,NOGYL390,Kary Hendrixson,Lost,GTXPlusPro,2017-07-02,0.0,2017-04-24
,B22V5Z3B,Kami Bicknell,Lost,GTXBasic,2017-08-07,0.0,2017-07-25
Faxquote,MD4PBMNN,Anna Snelling,Won,MGRPFU,2017-10-24,3842.0,2017-07-21
Zathunicon,1XPVT5AY,Kary Hendrixson,Won,GTXPlusPro,2017-10-07,5055.0,2017-08-11
,ADWOMVPI,Vicki Laflamme,In_Progress,MGRPFS,,,2017-11-11
Stanredtax,IH2QISS9,Kary Hendrixson,Won,GTXPro,2017-05-05,4889.0,2017-01-31
Cheers,7JJ73XCX,James Ascencio,Won,GTXPlusBasic,2017-06-26,1226.0,2017-04-26
,9WU5D31I,Darcel Schlecht,In_Progress,GTXPlusPro,,,2017-10-17
Good Burger,T8QRTV6F,James Ascencio,Won,GTXPlusPro,2017-12-22,9150.0,2017-12-12
Lexiqvolax,C7NFUAR6,Marty Freudenburg,Won,GTXPlusBasic,2017-06-19,1380.0,2017-04-15
Nam-zim,NXRZZBVS,Lajuana Vencill,Won,MGRPFU,2017-05-16,3620.0,2017-03-25
Ron-tech,H7ZQUWDJ,Reed Clapper,Won,GTXBasic,2017-12-30,660.0,2017-12-21
Finhigh,YV47EGIC,Anna Snelling,Won,MGRPFS,2017-06-14,44.0,2017-04-10
Sonron,MKF8JOUN,Elease Gluck,In_Progress,MGRPFS,,,2017-12-12
Domzoom,HA2UFLFG,Rosie Papadopoulos,In_Progress,GTXPlusBasic,,,2017-12-12
,AQY3VBJC,Zane Levy,Lost,GTXPlusBasic,2017-10-30,0.0,2017-08-08
,DLKSSU10,Lajuana Vencill,In_Progress,MGRPFU,,,2017-07-15
Gogozoom,SC4LUMPZ,Elease Gluck,Won,MGRPFS,2017-06-28,64.0,2017-05-06
Scotfind,ZES3NR0F,Versie Hillebrand,Won,MGRPFS,2017-12-26,54.0,2017-09-28
,B9JJXDA2,Donn Cantrell,Lost,GTXPlusBasic,2017-06-03,0.0,2017-02-24
Ganjaflex,KJ1JOOQ0,Niesha Huffines,Won,MGRPFS,2017-08-28,61.0,2017-08-15
,HC77MZU1,Darcel Schlecht,Lost,GTXBasic,2017-09-07,0.0,2017-07-25
,27QUC5M7,Jonathan Berthelot,In_Progress,GTXBasic,,,2017-11-01
Opentech,ZHV68QKO,Reed Clapper,Won,GTXPro,2017-12-14,4551.0,2017-09-16
,88MXDSGR,Zane Levy,Lost,GTXPro,2017-12-10,0.0,2017-12-01
Stanredtax,4RE1ST7V,Kami Bicknell,Won,GTXPlusPro,2017-08-24,5213.0,2017-08-02
,U9H5N48H,Zane Levy,In_Progress,GTXPlusPro,,,2017-07-10
Bubba Gump,N3DXP5OP,Jonathan Berthelot,In_Progress,GTXBasic,,,2017-02-05
,1IYYVAP0,Rosalina Dieter,In_Progress,GTXPro,,,2017-08-25
,ZLLF7UHU,Rosalina Dieter,Lost,GTXBasic,2017-12-08,0.0,2017-09-20
,062TYNGV,Cecily Lampkin,In_Progress,MGRPFU,,,2017-08-02
Sunnamplex,8S4H8GNZ,Reed Clapper,Won,MGRPFU,2017-04-22,4750.0,2017-02-16
Silis,P007M3B8,Marty Freudenburg,Won,MGRPFS,2017-11-16,75.0,2017-07-30
Inity,KI49INQW,Gladys Colclough,Won,GTXPlusBasic,2017-06-05,1524.0,2017-04-16
,I9JZDSCQ,Daniell Hammack,In_Progress,MGRPFS,,,2017-11-11
,C0YYQ0P0,Moses Frase,In_Progress,GTXPlusBasic,,,2017-11-28
,4FJHFAH7,Kary Hendrixson,Lost,GTXPlusBasic,2017-08-07,0.0,2017-08-01
,IVX8R38S,Gladys Colclough,In_Progress,GTXPlusPro,,,2017-07-16
Rantouch,2NAKBIH8,Reed Clapper,Won,GTXPro,2017-08-27,7007.0,2017-06-01
Hooli,QRYFOK47,Donn Cantrell,Won,GTXBasic,2017-05-02,428.0,2017-03-27
,DPPGXDFY,Vicki Laflamme,Lost,MGRPFU,2017-12-18,0.0,2017-11-01
,KO7Y6N5A,Niesha Huffines,In_Progress,MGRPFS,,,2017-12-17
,QCA1IIKF,Jonathan Berthelot,In_Progress,GTXBasic,,,2016-11-25
Cancity,3X1QOEBM,Rosalina Dieter,Won,MGRPFS,2017-08-01,61.0,2017-05-25
,P0I0DTBJ,Violet Mclelland,Lost,GTXBasic,2017-04-04,0.0,2017-02-15
Ontomedia,TGYPRG6Y,Wilburn Farren,Won,GTXPlusBasic,2017-12-30,1566.0,2017-09-29
Zotware,H8ONBK8M,Kary Hendrixson,Won,GTXPlusBasic,2017-06-12,1631.0,2017-04-17
Zencorporation,H0NRZ2VX,Darcel Schlecht,Won,MGRPFU,2017-09-08,3391.0,2017-08-17
Labdrill,5S5DO3QC,Marty Freudenburg,Lost,GTXBasic,2017-04-03,0.0,2017-01-08
Labdrill,NC7SHGMD,Darcel Schlecht,Won,GTXPro,2017-04-03,4004.0,2017-01-22
Vehement Capital Partners,7DKUOAIF,Anna Snelling,In_Progress,MGRPFU,,,2017-03-18
Zumgoity,WB5W4F6P,Reed Clapper,Won,GTXPro,2017-07-26,6894.0,2017-04-20
,R2I4L1RP,Moses Frase,In_Progress,GTXPlusPro,,,2017-03-01
Hottechi,RHDS160S,Marty Freudenburg,In_Progress,GTXPlusBasic,,,2017-06-22
,OREM6AKM,Violet Mclelland,In_Progress,GTXPlusPro,,,2017-12-28
Xx-holding,XNAHLO2F,Vicki Laflamme,Lost,MGRPFS,2017-06-04,0.0,2017-03-22
Donware,VB2E4FRU,Elease Gluck,Won,MGRPFU,2017-10-07,4712.0,2017-09-29
Yearin,83465NUV,Daniell Hammack,Won,GTXPro,2017-11-19,5269.0,2017-10-18
,5XX8MPMV,Jonathan Berthelot,In_Progress,MGRPFS,,,2017-06-05
Hottechi,FLXHSKT4,Markita Hansen,Won,MGRPFS,2017-12-27,49.0,2017-12-14
,8QSPOR0V,James Ascencio,Lost,GTXBasic,2017-09-12,0.0,2017-08-09
Ollivander's Wand Shop,VUNCUB75,Jonathan Berthelot,Won,GTXPlusBasic,2017-09-20,1307.0,2017-08-08
,FJVFOQPG,Marty Freudenburg,Lost,MGRPFS,2017-05-30,0.0,2017-05-18
Cheers,9UAMZCLW,Elease Gluck,Won,MGRPFU,2017-12-28,4389.0,2017-10-23
Golddex,FH7HBET2,Moses Frase,Won,GTXPlusBasic,2017-10-18,1509.0,2017-07-31
Ganjaflex,XCRXR37W,Niesha Huffines,In_Progress,MGRPFS,,,2017-12-28
